1. REPORTING YEAR	2. TITLE OF CERTIFYING OFFICIAL	3. NAME OF CERTIFYING OFFICIAL	4. TRIFD	5. NAME	6. STREET	7. CITY	8. COUNTY	9. STATE	10. ZIP CODE	11. BIA CODE	12. TRIBE NAME	13. PARENT COMPANY NAME	14. PARENT COMPANY DB NR	15. STANDARDIZED PARENT COMPANY NAME	16. FOREIGN PARENT COMPANY NAME	17. FOREIGN PARENT COMPANY DB NR	18. STANDARDIZED FOREIGN PARENT COMPANY NAME	19. EPA REGISTRY ID	20. SUBMITTED FACILITY NAME	21. SUBMITTED STREET	22. SUBMITTED CITY	23. SUBMITTED COUNTY	24. SUBMITTED STATE	25. SUBMITTED ZIP CODE	26. SUBMITTED BIA CODE	27. SUBMITTED TRIBE NAME	28. SUBMITTED PARENT COMPANY NAME	29. SUBMITTED PARENT COMPANY DB NR	30. SUBMITTED STANDARDIZED PARENT COMPANY NAME	31. SUBMITTED PRIMARY NAICS CODE	32. SUBMITTED INDUSTRY CODE	33. SUBMITTED INDUSTRY NAME	34. MAILING NAME	35. MAILING STREET	36. MAILING CITY	37. MAILING STATE	38. MAILING PROVINCE	39. MAILING ZIP CODE	40. ENTIRE FACILITY IND	41. PARTIAL FACILITY IND	42. FEDERAL FACILITY IND	43. ASSIGNED AGENCY	44. GOCO FACILITY IND	45. ASSIGNED FED. FACILITY FLAG	46. ASSIGNED PARTIAL FACILITY FLAG	47. PUBLIC CONTACT NAME	48. PUBLIC CONTACT PHONE	49. PUBLIC CONTACT PHONE EXT	50. PUBLIC CONTACT EMAIL	51. PRIMARY SIC CODE	52. SIC CODE 2	53. SIC CODE 3	54. SIC CODE 4	55. SIC CODE 5	56. SIC CODE 6	57. INDUSTRY CODE	58. INDUSTRY NAME	59. PRIMARY NAICS CODE	60. NAICS CODE 2	61. NAICS CODE 3	62. NAICS CODE 4	63. NAICS CODE 5	64. NAICS CODE 6	65. LATITUDE	66. LONGITUDE	67. DB NR A	68. DB NR B	69. RCRA NR A	70. RCRA NR B	71. RCRA NR C	72. RCRA NR D	73. RCRA NR E	74. RCRA NR F	75. RCRA NR G	76. RCRA NR H	77. RCRA NR I	78. RCRA NR J	79. NPDES NR A	80. NPDES NR B	81. NPDES NR C	82. NPDES NR D	83. NPDES NR E	84. NPDES NR F	85. NPDES NR G	86. NPDES NR H	87. NPDES NR I	88. NPDES NR J	89. LAST YEAR THE FACILITY REPORTED	90. FIRST YEAR THE FACILITY REPORTED	91. NUMBER OF FORMS SUBMITTED	92. TOTAL NUMBER OF FORMS SUBMITTED	20251105	
2020	PLANT MANAGER	CARLTON CAMPBELL	29067RCHRD413NH	250 - KERSHAW OILSEEDS	413 N HAMPTON ST	KERSHAW	LANCASTER	SC	29067			ARCHER DANIELS MIDLAND CO	001307586	ARCHER DANIELS MIDLAND CO				110000351958	250 - KERSHAW OILSEEDS	413 N HAMPTON ST	KERSHAW	LANCASTER	SC	29067			ARCHER DANIELS MIDLAND CO	001307586	ARCHER DANIELS MIDLAND CO	311224	311	Food	250 - KERSHAW OILSEEDS	P.O. BOX 338	KERSHAW	SC		29067	YES	NO	NO		NO	NO	NO	MEDIA  RELATIONS	3126348484		MEDIA@ADM.COM	2075						311	Food	311224						34.55439	-80.58428	062705678		SCD062705678																				2024	1995	1	57	20251105
2020	PLANT MANAGER	SERGIO FRANCO	38108STHRN2782C	293 - MEMPHIS OILSEEDS	2782 CHELSEA AVE	MEMPHIS	SHELBY	TN	38108			ARCHER DANIELS MIDLAND CO	001307586	ARCHER DANIELS MIDLAND CO				110000373970	293 - MEMPHIS OILSEEDS	2782 CHELSEA AVE	MEMPHIS	SHELBY	TN	38108			ADM	001307586	ARCHER DANIELS MIDLAND CO	311224	311	Food	293 - MEMPHIS OILSEEDS	2782 CHELSEA AVE	MEMPHIS	TN		38108	YES	NO	NO		NO	NO	NO	MEDIA  RELATIONS	3126348484		MEDIA@ADM.COM	2074	2079					311	Food	311224						35.175896	-89.968059	045880085	001307586	TND004276739										TN0000281										2024	1987	1	64	20251105
2020	EHS MANAGER	KYLE KENWORTHY	4537WSGMCR1985W	3 SIGMA LLC	1985 W STANFIELD RD	TROY	MIAMI	OH	45373			DURACO SPECIALTY TAPES LLC		DURACO SPECIALTY TAPES LLC				110004726501	3 SIGMA LLC	1985 W STANFIELD RD	TROY	MIAMI	OH	45373					NA	322220	322	Paper	3 SIGMA LLC	1985 W STANFIELD RD	TROY	OH		45373	YES	NO	NO		NO	NO	NO	KYLE KENWORTHY	9374403400	116	KKENWORTHY@3SIGMA.CC							322	Paper	322220						40.050341	-84.242343	080898993		OHR000026971																				2023	2016	1	8	20251105
2020	SUSTAINABILITY COORDINATOR	MEGAN WINTER	8368WSTPHN1775M	301931-STEPHENS #2 (NAMPA)	17750 MIDLAND BLVD	NAMPA	CANYON	ID	83687					KNIFE RIVER CORP				110035854064	301931-STEPHENS #2 (NAMPA)	17750 MIDLAND BLVD	NAMPA	CANYON	ID	83687			MDU RESOURCES GROUP INC	006962286	MDU RESOURCES GROUP INC	327320	327	Nonmetallic Mineral Product	301931-STEPHENS #2 (NAMPA)	5450 W GOWEN ROAD	BOISE	ID		83709	YES	NO	NO		NO	NO	NO	JOSEPH L SMITH	4068764637		JOE.SMITH@KNIFERIVER.COM							327	Nonmetallic Mineral Product	327320						43.60501	-116.51323	006962096																						2024	2020	3	15	20251105
2020	SECRETARY	JULIE PERKINS	43832NCXXX100EN	31 INC	100 ENTERPRISE DR	NEWCOMERSTOWN	TUSCARAWAS	OH	43832					NA				110000493412	31 INC	100 ENTERPRISE DR	NEWCOMERSTOWN	TUSCARAWAS	OH	43832					NA	326299	326	Plastics and Rubber	31 INC	PO BOX 278	NEWCOMERSTOWN	OH		43832	YES	NO	NO		NO	NO	NO	REET KAMP	3302601911		RKAMP@31INC.COM	3069						326	Plastics and Rubber	326299						40.2814	-81.56784	054663372		OHD054663372																				2020	1989	2	98	20251105
2020	PLANT MANAGER	ESTEBAN LOPEZ	79404STHRN2300E	348 - LUBBOCK OILSEEDS	2300 E 50TH ST	LUBBOCK	LUBBOCK	TX	79404			ARCHER DANIELS MIDLAND CO	001307586	ARCHER DANIELS MIDLAND CO				110002401080	348 - LUBBOCK OILSEEDS	2300 E 50TH ST	LUBBOCK	LUBBOCK	TX	79404			ARCHER DANIELS MIDLAND CO	001307586	ARCHER DANIELS MIDLAND CO	311224	311	Food	348 - LUBBOCK OILSEEDS	2300 EAST 50TH ST	LUBBOCK	TX		79404	YES	NO	NO		NO	NO	NO	MEDIA  RELATIONS	3126348484		MEDIA@ADM.COM	2074						311	Food	311224						33.5488	-101.8073	844320923		TXD988026019																				2024	1995	1	30	20251105
2020	EHS MANAGER	HEATHER PATTON	42025LCBNDSYMSO	3A COMPOSITES USA INC	280 W 5TH ST	BENTON	MARSHALL	KY	42025			3A COMPOSITES USA INC		3A COMPOSITES USA INC				110000380007	3A COMPOSITES USA INC	280 W 5TH ST	BENTON	MARSHALL	KY	42025			3A COMPOSITES USA INC		3A COMPOSITES USA INC	326130	326	Plastics and Rubber	3A COMPOSITES USA INC	280 W 5TH ST	BENTON	KY		42025	YES	NO	NO		NO	NO	NO	HEATHER PATTON	2705274241		HEATHER.PATTON@3ACOMPOSITES.COM	3081	3083					326	Plastics and Rubber	326130						36.86642	-88.35834	056819287		KYD056819287										KYR003181										2024	1989	3	106	20251105
2020	HSE MANAGER	JOSEPH MARINI	8943WDCNCR6S21S	3D CONCRETE	600 S 21ST ST	SPARKS	WASHOE	NV	89431			EAGLE MATERIALS INC	752520779	EAGLE MATERIALS INC				110070703503	3D CONCRETE	600 S 21ST ST	SPARKS	WASHOE	NV	89431			EAGLE MATERIALS INC	752520779	EAGLE MATERIALS INC	327320	327	Nonmetallic Mineral Product	3D CONCRETE	600 S 21ST ST	SPARKS	NV		89431	YES	NO	NO		NO	NO	NO	KIMBERLY DENNIS	2144322104		KDENNIS@EAGLEMATERIALS.COM							327	Nonmetallic Mineral Product	327320						39.53021	-119.77131	833481306																						2024	2019	5	28	20251105
2020	PRESIDENT	KELLY DUNDAS	9713WDPLST271E2	3D PLASTICS INC.	2701 E 2ND ST	NEWBERG	YAMHILL	OR	97132					NA				110069493293	3D PLASTICS INC.	2701 E 2ND ST	NEWBERG	YAMHILL	OR	97132					NA	326199	326	Plastics and Rubber	3D PLASTICS INC.	2701 E 2ND ST	NEWBERG	OR		97132	YES	NO	NO		NO	NO	NO	KELLY DUNDAS	5035370979	203	KELLYD@3D-PLASTICS.COM							326	Plastics and Rubber	326199						45.299403	-122.951801	100808380																						2024	2012	1	13	20251105
2020	MANAGING DIRECTOR	CHRISTOPHER  DUERK	29330MRMTW597NM	3G MERMET	5970 N MAIN ST	COWPENS	SPARTANBURG	SC	29330					NA	MERMET S.A.S.	277097275		110020516805	3G MERMET	5970 N MAIN ST	COWPENS	SPARTANBURG	SC	29330					NA	313210	313	Textiles	3G MERMET	5970 N MAIN ST	COWPENS	SC		29330	YES	NO	NO		NO	NO	NO	DAVID SOBOL	8644635452		DAVID.SOBOL@MERMETUSA.COM	2299						313	Textiles	313210						35.02157	-81.78709	603058462		SCR000790147	SCR000773382																			2024	2003	3	46	20251105
2020	PLANT DIRECTOR	TREVOR LARSON	50010MNNST900DA	3M (MINNESOTA MINING & MFG CO) - AMES	900 DAYTON AVE	AMES	STORY	IA	50010			3M CO	006173082	3M CO				110000412571	3M CO - AMES	900 DAYTON AVE	AMES	STORY	IA	50010			3M CO	006173082	3M CO	327910	327	Nonmetallic Mineral Product	3M (MINNESOTA MINING & MFG CO) - AMES	900 DAYTON AVE	AMES	IA		50010	YES	NO	NO		NO	NO	NO	TREVOR LARSON	5159561119		TALARSON@MMM.COM	3291						327	Nonmetallic Mineral Product	327910						42.0296	-93.57913	089979058		IAD089979058																				2024	1990	1	42	20251105
2020	PLANT MANAGER	NIGEL FOWLER	77515GRFBR1508E	3M ANGLETON	1508 EAST CEDAR ST	ANGLETON	BRAZORIA	TX	77515			3M CO	006173082	3M CO				110002134119	3M ANGLETON	1508 E CEDAR ST	ANGLETON	BRAZORIA	TX	77515			3M CO	006173082	3M CO	332439	332	Fabricated Metals	3M ANGLETON	1508 EAST CEDAR ST	ANGLETON	TX		77515	YES	NO	NO		NO	NO	NO	ERIKA LADD	9798485501		ELADD@MMM.COM	3412						332	Fabricated Metals	332439						29.16978	-95.4135	006173082																						2024	1988	1	20	20251105
2020		ERIC FUNK	61242MXXXX22614	3M CHEMICAL OPERATIONS' CORDOVA FACILITY	22614 RT 84 N	CORDOVA	ROCK ISLAND	IL	61242			3M CO	006173082	3M CO				110013886875	3M CO - CORDOVA	22614 RT 84 N	CORDOVA	ROCK ISLAND	IL	61242			3M CO	006173082	3M CO	325998	325	Chemicals	3M CHEMICAL OPERATIONS' CORDOVA FACILITY	22614 RT 84 N	CORDOVA	IL		61242	YES	NO	NO		NO	NO	NO	SARAH BABIN	3096548160		SBABIN@MMM.COM	2899	2821					325	Chemicals	325998						41.755	-90.284167	006173082		ILD054236443										IL0003140										2024	1987	30	1210	20251105
2020		DEREK KNEIR	55016MCHMLHIGHW	3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY	10746 INNOVATION RD	COTTAGE GROVE	WASHINGTON	MN	55016			3M CO	006173082	3M CO				110000423667	3M COTTAGE GROVE CENTER	10746 INNOVATION RD	COTTAGE GROVE	WASHINGTON	MN	55016			3M CO	006173082	3M CO	325998	325	Chemicals	3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY	10746 INNOVATION RD	COTTAGE GROVE	MN		55016	YES	NO	NO		NO	NO	NO	DEREK KNEIR	6514582001		DKNEIR@MMM.COM	2899	2672	2843	3081	3291	4953	325	Chemicals	325998	327910	326121	325613	562211		44.789444	-92.908333			MND006172969										MN0001449										2024	1987	50	1824	20251105
2020	SITE DIRECTOR	JOSEPH BULLARD	35602MCMPNSTATE	3M CHEMICAL OPERATIONS' DECATUR FACILITY	1400 STATE DOCKS RD	DECATUR	MORGAN	AL	35601			3M CO	006173082	3M CO				110000367567	3M CO - DECATUR	1400 STATE DOCKS RD	DECATUR	MORGAN	AL	35601			3M CO	006173082	3M CO	326113	326	Plastics and Rubber	3M CHEMICAL OPERATIONS' DECATUR FACILITY	1400 STATE DOCKS RD	DECATUR	AL		35601	YES	NO	NO		NO	NO	NO	J. TODD BULLARD	2569942051		JTBULLARD1@MMM.COM	2821	2843	2899	3081			325	Chemicals	325998	326113					34.641667	-87.038611	848119926	964006597	ALD004023164										ALR10C26X	ALR10C1AP	AL0000205								2024	1987	20	894	20251105
2020	SR. PLANT MANAGER	CLAUDIA OROURKE	02370VNTRT30COM	3M CO	30 COMMERCE RD	ROCKLAND	PLYMOUTH	MA	02370			3M CO	006173082	3M CO				110012466447	3M CO	30 COMMERCE RD	ROCKLAND	PLYMOUTH	MA	02370			3M CO	006173082	3M CO	322220	322	Paper	3M CO	30 COMMERCE RD	ROCKLAND	MA		02370	YES	NO	NO		NO	NO	NO	CLAUDIA O'ROURKE	7814212204		COROURKE@MMM.COM	2672	2891					322	Paper	322220						42.163919	-70.901419	021008206		MAD021008206										MANOEJ00L										2024	1987	2	128	20251105
2020	EHS ENGINEER	MARK MEURETTE	54401MGRYSNFOUR	3M CO -  WAUSAU - GREYSTONE	N FOURTH AVE	WAUSAU	MARATHON	WI	54401			3M CO		3M CO				110007332118	3M CO -  WAUSAU - GREYSTONE	N FOURTH AVE	WAUSAU	MARATHON	WI	54401			3M CO		3M CO	212313	999	Other	3M CO -  WAUSAU - GREYSTONE	PO BOX 1207	WAUSAU	WI		54402	YES	NO	NO		NO	NO	NO	MARIO DIAZ	7158450287		EPCRA@MMM.COM	3295						999	Other	212313						45.01293	-89.64198	000808956		WID000808956																				2024	1998	5	128	20251105
2020	PLANT MANAGER	RUSS BRYAN	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801			3M CO	006173082	3M CO				110000599273	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801			3M CO	006173082	3M CO	326113	326	Plastics and Rubber	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO		NO	NO	NO	RUSS BRYAN	3256463551	12123	EPCRA@MMM.COM	3081						326	Plastics and Rubber	326113	327212					31.671177	-98.996513	001806868		TXD001806868										TXR05FE77										2024	1987	10	457	20251105
2020	PLANT DIRECTOR	STEVEN LANDREE	91719MXXXX8500M	3M CO - CORONA	18750 MINNESOTA RD	CORONA	RIVERSIDE	CA	92881			3M CO	006173082	3M CO				110000477467	3M CO - CORONA	18750 MINNESOTA RD	CORONA	RIVERSIDE	CA	92881			3M CO	006173082	3M CO	327999	327	Nonmetallic Mineral Product	3M CO - CORONA	18750 MINNESOTA RD	CORONA	CA		92881	YES	NO	NO		NO	NO	NO	STEVEN LANDREE	9515204617		SLANDREE@MMM.COM	3295						327	Nonmetallic Mineral Product	327999						33.84688	-117.51174	008276214																						2024	1987	5	140	20251105
2020	SITE DIRECTOR	JASON ORR	41031MCMPNNEWLA	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	HARRISON	KY	41031			3M CO	080736698	3M CO				110000379634	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	HARRISON	KY	41031			3M CO	006173082	3M CO	322230	322	Paper	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	KY		41031	YES	NO	NO		NO	NO	NO	JASON ORR	8595694233		JEORR@MMM.COM	2672						322	Paper	322230	322220	326112				38.374346	-84.29449	050660836		KYD103537700										KYR003335										2024	1987	4	239	20251105
2020	GUIN PLANT DIRECTOR	TREVOR BRAGWELL	35563MXXXXHIGHW	3M CO - GUIN	6675 US HWY 43	GUIN	MARION	AL	35563			3M CO	006173082	3M CO				110000589159	3M CO - GUIN	6675 US HWY 43	GUIN	MARION	AL	35563			3M CO	006173082	3M CO	326113	326	Plastics and Rubber	3M CO - GUIN	6675 US HWY 43	GUIN	AL		35563	YES	NO	NO		NO	NO	NO	TREVOR BRAGWELL	2054683315		TPBRAGWELL@MMM.COM	3081	3069	3229				326	Plastics and Rubber	326113						33.96672	-87.899855	004019691		ALD004019691																				2024	1987	6	370	20251105
2020	PLANT MANAGER	MATTHEW PETERSON	47348MXXXX0304S	3M CO - HARTFORD CITY	0304S   075E	HARTFORD CITY	BLACKFORD	IN	47348			3M CO	006173082	3M CO				110000402733	3M CO - HARTFORD CITY	0304S   075E	HARTFORD CITY	BLACKFORD	IN	47348			3M CO	006173082	3M CO	322220	322	Paper	3M CO - HARTFORD CITY	0304S   075E	HARTFORD CITY	IN		47348	YES	NO	NO		NO	NO	NO	MATTHEW PETERSON	7653312439		MDPETERSON1@MMM.COM	2672						322	Paper	322220	326113					40.450051	-85.355891	006054423		IND990850299																				2024	1987	4	286	20251105
2020	PLANT DIRECTOR	TRISHIA HAUCK	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138			3M CO	006173082	3M CO				110000412697	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138			3M CO	006173082	3M CO	322220	322	Paper	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO		NO	NO	NO	TRISHIA HAUCK	6418285500		THAUCK@MMM.COM	2672	2891					322	Paper	322220						41.318143	-93.065738	075846824		IAD075846824																				2024	1987	3	256	20251105
